Unnamed: 0,Year,CO2,Global_Temp_Anomaly,NH_Temp_Anomaly,SH_Temp_Anomaly,Sea_Level
0,1993,0.0,0.0,0.0,0.02083333333333337,0.0
1,1994,0.010938797150889856,0.10256410256410253,0.15517241379310343,0.0,0.042148429238784646
2,1995,0.04512253824742052,0.2692307692307692,0.3362068965517241,0.10416666666666663,0.09574113804237369
3,1996,0.09408202702608404,0.1282051282051282,0.060344827586206906,0.29166666666666674,0.1427709163671555
4,1997,0.10409297977578258,0.2948717948717949,0.28448275862068967,0.3124999999999999,0.18413215124871773
5,1998,0.09784921482039577,0.48717948717948706,0.439655172413793,0.5208333333333333,0.22265661200301357
6,1999,0.13412583802487732,0.1923076923076923,0.24999999999999994,0.04166666666666674,0.17941695003177738
7,2000,0.18452243918433409,0.20512820512820512,0.2672413793103448,0.04166666666666674,0.21783108195054068
8,2001,0.1995074750772623,0.38461538461538464,0.3879310344827586,0.33333333333333326,0.2605107253568673
9,2002,0.24234179555332314,0.5128205128205128,0.44827586206896547,0.5833333333333335,0.303719002089937
10,2003,0.33811208081315436,0.48717948717948706,0.4827586206896552,0.47916666666666674,0.3441148243624484
11,2004,0.40694697334365815,0.38461538461538464,0.4051724137931035,0.3124999999999999,0.35938132464612543
12,2005,0.47527957416825384,0.5769230769230769,0.5689655172413792,0.5,0.3855560327621117
13,2006,0.5436540326350081,0.5128205128205128,0.5431034482758621,0.39583333333333337,0.42472738508168817
14,2007,0.6075008894748959,0.5512820512820513,0.5689655172413792,0.4374999999999999,0.4421901000384959
15,2008,0.647963276895279,0.3974358974358974,0.42241379310344823,0.29166666666666674,0.45721124455903184
16,2009,0.6114982943010818,0.5384615384615383,0.45689655172413784,0.6875,0.5008282980701133
17,2010,0.7373014378100078,0.628205128205128,0.6120689655172413,0.5833333333333335,0.5423017340317272
18,2011,0.8157496354896994,0.48717948717948706,0.4741379310344827,0.4374999999999999,0.5175782840076956
19,2012,0.8520332349678741,0.5256410256410255,0.5344827586206897,0.45833333333333326,0.572093380282986
20,2013,0.8738968767222675,0.5641025641025641,0.5258620689655173,0.6041666666666667,0.6630751360546785
21,2014,0.8919514730401903,0.6666666666666665,0.6293103448275863,0.6458333333333333,0.6662597354810547
22,2015,0.8906259810384878,0.846153846153846,0.853448275862069,0.75,0.7401960634520668
23,2016,0.8882261428880378,0.9999999999999998,0.9655172413793103,0.9583333333333333,0.8279899577661939
24,2017,0.9282280962446716,0.8846153846153846,0.8448275862068966,0.8333333333333335,0.8292589403197219
25,2018,0.9792246569417409,0.7948717948717947,0.7327586206896552,0.8125,0.8587610586196293
26,2019,0.997118798964721,0.9487179487179485,0.8793103448275861,1.0,0.9105182913778104
27,2020,0.8700459736436379,0.9999999999999998,1.0,0.8333333333333335,0.9607999230859238
28,2021,1.0,0.7820512820512819,0.8189655172413792,0.6041666666666667,0.9999999999999999
